B (G);EPR intensity (au);Sim Sum;Sim A;Sim B
3322.8187;-0.073469304;0.016322258;0.007342505;0.008979753
3322.9038;-0.094997711;0.016808324;0.007401028;0.009407296
3322.989;0.062660033;0.017296813;0.00746017;0.009836643
3323.0742;-0.15898812;0.017786631;0.00751994;0.010266691
3323.1593;-0.019279554;0.018276702;0.007580346;0.010696356
3323.2445;-0.00722001;0.018765981;0.007641397;0.011124585
3323.3297;-0.014203635;0.019253462;0.0077031;0.011550362
3323.4148;0.006013348;0.019738187;0.007765465;0.011972722
3323.5;0.054489196;0.020219254;0.0078285;0.012390754
3323.5851;-0.014700739;0.02069583;0.007892215;0.012803615
3323.6703;0.080434083;0.021167148;0.007956619;0.013210529
3323.7555;0.038966886;0.02163252;0.00802172;0.0136108
3323.8406;0.11759471;0.02209134;0.008087528;0.014003812
3323.9258;-0.061359113;0.022543084;0.008154054;0.014389031
3324.011;0.000509142;0.022987316;0.008221305;0.01476601
3324.0961;-0.10790908;0.023423683;0.008289293;0.01513439
3324.1813;0.081039615;0.023851922;0.008358028;0.015493894
3324.2664;0.097704768;0.024271853;0.008427519;0.015844334
3324.3516;0.028712904;0.024683378;0.008497777;0.0161856
3324.4368;0.079467283;0.025086478;0.008568813;0.016517665
3324.5219;-0.081847726;0.02548121;0.008640637;0.016840573
3324.6071;-0.013899812;0.025867699;0.00871326;0.017154439
3324.6923;0.060186736;0.026246135;0.008786693;0.017459442
3324.7774;0.17001705;0.026616768;0.008860947;0.01775582
3324.8626;0.02453888;0.026979898;0.008936035;0.018043863
3324.9478;0.20701654;0.027335872;0.009011966;0.018323906
3325.0329;0.025162574;0.027685076;0.009088754;0.018596322
3325.1181;0.002575027;0.028027931;0.00916641;0.01886152
3325.2032;0.1463501;0.028364881;0.009244947;0.019119934
3325.2884;0.15375876;0.028696392;0.009324377;0.019372016
3325.3736;0.091154827;0.029022946;0.009404712;0.019618235
3325.4587;-0.020118255;0.029345032;0.009485965;0.019859067
3325.5439;0.072545031;0.029663143;0.00956815;0.020094993
3325.6291;-0.092890395;0.029977773;0.009651279;0.020326493
3325.7142;0.062419414;0.030289408;0.009735367;0.020554041
3325.7994;0.07628838;0.030598528;0.009820427;0.020778102
3325.8845;0.11264809;0.030905601;0.009906472;0.020999129
3325.9697;0.081648739;0.031211078;0.009993518;0.02121756
3326.0549;0.060862573;0.031515396;0.010081578;0.021433818
3326.14;0.004845233;0.031818972;0.010170667;0.021648306
3326.2252;0.091975707;0.032122205;0.0102608;0.021861404
3326.3104;0.044233165;0.03242547;0.010351993;0.022073477
3326.3955;0.14882553;0.032729124;0.010444261;0.022284863
3326.4807;0.073022197;0.033033501;0.010537619;0.022495882
3326.5658;-0.012591934;0.033338914;0.010632084;0.02270683
3326.651;0.18950791;0.033645656;0.010727672;0.022917984
3326.7362;0.035462461;0.033953999;0.010824399;0.0231296
3326.8213;0.14311074;0.034264195;0.010922283;0.023341912
3326.9065;0.20178637;0.034576478;0.011021341;0.023555137
3326.9917;0.13389356;0.034891064;0.011121589;0.023769475
3327.0768;0.09152597;0.035208153;0.011223046;0.023985106
3327.162;0.18254603;0.035527929;0.011325731;0.024202198
3327.2472;0.096824381;0.035850564;0.01142966;0.024420903
3327.3323;0.10526537;0.036176213;0.011534854;0.024641359
3327.4175;0.1288382;0.036505024;0.011641331;0.024863692
3327.5026;-0.059923732;0.03683713;0.011749111;0.025088019
3327.5878;0.15518787;0.037172657;0.011858214;0.025314444
3327.673;0.12600062;0.037511723;0.011968659;0.025543064
3327.7581;0.12390943;0.037854436;0.012080467;0.025773969
3327.8433;0.094628361;0.038200899;0.012193659;0.02600724
3327.9285;0.097021567;0.03855121;0.012308257;0.026242953
3328.0136;0.16410929;0.038905461;0.012424282;0.026481179
3328.0988;-0.028097543;0.03926374;0.012541756;0.026721984
3328.1839;0.18878088;0.039626131;0.012660701;0.02696543
3328.2691;0.067527536;0.039992716;0.012781141;0.027211575
3328.3543;0.1190727;0.040363575;0.012903099;0.027460476
3328.4394;0.057991658;0.040738785;0.013026598;0.027712187
3328.5246;-0.006033005;0.041118421;0.013151662;0.027966759
3328.6098;0.11632089;0.04150256;0.013278318;0.028224242
3328.6949;0.19853003;0.041891274;0.013406588;0.028484686
3328.7801;0.11536838;0.042284638;0.0135365;0.028748138
3328.8653;0.072461686;0.042682725;0.013668078;0.029014647
3328.9504;0.057811767;0.043085609;0.01380135;0.029284258
3329.0356;0.15753314;0.043493363;0.013936343;0.02955702
3329.1207;0.22232089;0.043906062;0.014073084;0.029832978
3329.2059;0.1009764;0.04432378;0.014211601;0.030112179
3329.2911;0.11233094;0.044746593;0.014351923;0.030394669
3329.3762;0.11178916;0.045174576;0.014494079;0.030680497
3329.4614;0.22346076;0.045607808;0.014638099;0.030969709
3329.5466;0.084633227;0.046046366;0.014784013;0.031262353
3329.6317;0.17407738;0.046490329;0.014931852;0.031558477
3329.7169;0.11140107;0.046939778;0.015081648;0.03185813
3329.802;0.10464023;0.047394794;0.015233432;0.032161362
3329.8872;0.050134469;0.047855458;0.015387237;0.032468221
3329.9724;0.051219529;0.048321856;0.015543098;0.032778759
3330.0575;0.28544965;0.048794073;0.015701046;0.033093027
3330.1427;0.046602599;0.049272195;0.015861119;0.033411076
3330.2279;0.23374992;0.049756309;0.01602335;0.033732959
3330.313;0.28804837;0.050246506;0.016187776;0.03405873
3330.3982;0.17911518;0.050742876;0.016354433;0.034388443
3330.4833;0.09590825;0.051245512;0.01652336;0.034722151
3330.5685;0.00556252;0.051754507;0.016694595;0.035059912
3330.6537;0.057930637;0.052269956;0.016868176;0.03540178
3330.7388;0.23186276;0.052791958;0.017044143;0.035747814
3330.824;0.079366711;0.053320609;0.017222538;0.036098072
3330.9092;0.11624081;0.053856011;0.0174034;0.036452611
3330.9943;0.11276374;0.054398266;0.017586774;0.036811492
3331.0795;0.14524161;0.054947477;0.017772702;0.037174775
3331.1647;0.004516194;0.055503749;0.017961227;0.037542522
3331.2498;0.18350129;0.056067191;0.018152396;0.037914794
3331.335;0.066963164;0.056637909;0.018346254;0.038291656
3331.4201;0.14284871;0.057216017;0.018542847;0.03867317
3331.5053;0.16030971;0.057801625;0.018742223;0.039059402
3331.5905;0.19402603;0.058394849;0.018944432;0.039450417
3331.6756;0.095735221;0.058995806;0.019149523;0.039846282
3331.7608;0.075493221;0.059604613;0.019357547;0.040247066
3331.846;0.18849709;0.060221391;0.019568555;0.040652836
3331.9311;0.11695357;0.060846263;0.019782601;0.041063661
3332.0163;0.073856553;0.061479353;0.019999739;0.041479613
3332.1014;0.074027816;0.062120788;0.020220024;0.041900763
3332.1866;0.086023024;0.062770696;0.020443513;0.042327184
3332.2718;0.064572061;0.06342921;0.020670262;0.042758948
3332.3569;0.16833879;0.064096461;0.020900332;0.04319613
3332.4421;0.24759358;0.064772586;0.021133781;0.043638805
3332.5273;0.070309796;0.065457722;0.021370672;0.04408705
3332.6124;0.27517366;0.06615201;0.021611067;0.044540943
3332.6976;0.16477148;0.066855591;0.02185503;0.045000561
3332.7828;0.031096114;0.067568611;0.022102627;0.045465985
3332.8679;0.19289572;0.068291218;0.022353924;0.045937294
3332.9531;0.28743275;0.06902356;0.02260899;0.04641457
3333.0382;0.089966833;0.06976579;0.022867895;0.046897895
3333.1234;0.14035397;0.070518064;0.02313071;0.047387354
3333.2086;0.096452759;0.071280539;0.023397507;0.047883031
3333.2937;0.10772449;0.072053374;0.023668362;0.048385012
