B (G),EPR intensity (au),Sim Sum,Sim A,Sim B
3321.3925,-0.57152261,0.035775827,0.020261109,0.015514719
3321.4776,-0.14894345,0.036669677,0.020417187,0.016252489
3321.5628,-0.40197686,0.037568143,0.020574845,0.016993298
3321.6479,-0.2947761,0.03846934,0.020734102,0.017735238
3321.733,-0.58692594,0.039371414,0.020894978,0.018476436
3321.8181,-0.18587778,0.040272562,0.021057492,0.01921507
3321.9033,-0.43164458,0.041171051,0.021221666,0.019949385
3321.9884,-0.222466,0.042065231,0.021387521,0.02067771
3322.0735,-0.51668088,0.042953551,0.021555077,0.021398474
3322.1586,-0.049988637,0.043834572,0.021724356,0.022110216
3322.2438,-0.18163694,0.044706978,0.021895379,0.022811599
3322.3289,-0.30682528,0.045569585,0.022068169,0.023501416
3322.414,-0.46855755,0.046421351,0.022242749,0.024178602
3322.4992,-0.061489491,0.047261375,0.02241914,0.024842235
3322.5843,-0.10049381,0.048088909,0.022597367,0.025491542
3322.6694,0.058392752,0.048903351,0.022777452,0.026125899
3322.7545,-0.62285061,0.049704251,0.022959419,0.026744832
3322.8397,0.12939718,0.050491303,0.023143293,0.02734801
3322.9248,0.08330149,0.051264345,0.023329098,0.027935247
3323.0099,-0.047152802,0.052023349,0.023516858,0.028506491
3323.095,0.38002301,0.05276842,0.0237066,0.02906182
3323.1802,-0.05112993,0.053499779,0.023898348,0.029601432
3323.2653,-0.12952343,0.054217763,0.024092129,0.030125634
3323.3504,0.048956754,0.054922807,0.024287969,0.030634838
3323.4355,0.17988816,0.055615438,0.024485895,0.031129543
3323.5207,-0.55197781,0.056296261,0.024685935,0.031610327
3323.6058,-0.47821187,0.056965951,0.024888115,0.032077836
3323.6909,-0.20148112,0.05762524,0.025092464,0.032532775
3323.7761,0.026873086,0.058274903,0.025299011,0.032975892
3323.8612,-0.25299726,0.058915754,0.025507785,0.033407969
3323.9463,0.019062805,0.059548629,0.025718814,0.033829815
3324.0314,-0.14544565,0.060174383,0.025932129,0.034242254
3324.1166,0.29260202,0.060793875,0.02614776,0.034646115
3324.2017,-0.11021001,0.061407964,0.026365738,0.035042226
3324.2868,0.10797784,0.062017501,0.026586095,0.035431406
3324.3719,0.35292352,0.06262332,0.026808861,0.03581446
3324.4571,0.018117021,0.063226238,0.027034069,0.036192169
3324.5422,0.31602064,0.063827043,0.027261752,0.036565291
3324.6273,-0.1940957,0.064426497,0.027491944,0.036934554
