Energie/eV,PDS-Betrag,Phase/°,Trans_korr,Ref/V,X-Wert/V,Y-Wert/V,Trans/V,Reflexion/V,Refl_korr
3.9984,2.59E-03,4.76E+00,6.62E-01,1.57E-05,5.45E-06,4.61E-07,1.83E-04,1.25E-05,1.41E-02
3.9784,3.53E-03,1.14E+01,6.36E-01,1.77E-05,8.49E-06,1.72E-06,1.99E-04,1.43E-05,6.19E-02
3.9584,2.64E-03,6.94E+00,6.14E-01,2.05E-05,7.43E-06,1.03E-06,2.24E-04,1.67E-05,9.47E-02
3.9384,3.14E-03,7.22E+00,5.92E-01,2.43E-05,1.09E-05,1.63E-06,2.61E-04,2.00E-05,1.38E-01
3.9184,3.38E-03,3.22E+00,5.77E-01,2.82E-05,1.36E-05,6.73E-07,2.98E-04,2.31E-05,1.16E-01
3.8984,3.28E-03,1.37E-01,5.49E-01,3.45E-05,1.65E-05,8.93E-08,3.58E-04,2.86E-05,1.67E-01
3.8784,3.64E-03,4.78E-01,5.39E-01,4.10E-05,2.20E-05,2.02E-07,4.25E-04,3.46E-05,1.48E-01
3.8584,3.76E-03,1.75E+00,5.17E-01,4.97E-05,2.75E-05,8.32E-07,5.11E-04,4.27E-05,1.69E-01
3.8384,4.35E-03,-3.74E+00,5.03E-01,5.89E-05,3.77E-05,-2.51E-06,6.06E-04,5.15E-05,1.69E-01
3.8184,4.26E-03,-2.28E+00,4.91E-01,7.08E-05,4.48E-05,-1.74E-06,7.32E-04,6.27E-05,1.81E-01
3.7984,4.40E-03,-5.71E-01,4.85E-01,8.28E-05,5.43E-05,-5.07E-07,8.62E-04,7.49E-05,1.97E-01
3.7784,4.52E-03,1.36E+00,4.78E-01,9.71E-05,6.48E-05,1.54E-06,1.02E-03,8.90E-05,2.08E-01
3.7584,4.54E-03,-1.36E+00,4.67E-01,1.11E-04,7.49E-05,-1.80E-06,1.17E-03,1.03E-04,2.18E-01
3.7384,4.80E-03,8.80E-01,4.65E-01,1.30E-04,9.18E-05,1.38E-06,1.39E-03,1.20E-04,2.20E-01
3.7184,4.95E-03,9.80E-01,4.63E-01,1.45E-04,1.06E-04,1.86E-06,1.58E-03,1.35E-04,2.27E-01
